GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0800000US530339292803180029601,530339292803180029601,"Census Tract 296.01 (part), Auburn city (part), Seattle CCD, King County, Washington",246,174
0800000US530339292803180029602,530339292803180029602,"Census Tract 296.02 (part), Auburn city (part), Seattle CCD, King County, Washington",4273,452
0800000US530339292803180029700,530339292803180029700,"Census Tract 297 (part), Auburn city (part), Seattle CCD, King County, Washington",154,77
0800000US530339292803180029802,530339292803180029802,"Census Tract 298.02 (part), Auburn city (part), Seattle CCD, King County, Washington",987,314
0800000US530339292807397011200,530339292807397011200,"Census Tract 112 (part), Boulevard Park CDP, Seattle CCD, King County, Washington",18,30
0800000US530339292807397026400,530339292807397026400,"Census Tract 264 (part), Boulevard Park CDP, Seattle CCD, King County, Washington",3766,667
0800000US530339292808552026001,530339292808552026001,"Census Tract 260.01 (part), Bryn Mawr-Skyway CDP (part), Seattle CCD, King County, Washington",6050,522
0800000US530339292808552026100,530339292808552026100,"Census Tract 261 (part), Bryn Mawr-Skyway CDP (part), Seattle CCD, King County, Washington",6382,580
0800000US530339292808850026400,530339292808850026400,"Census Tract 264 (part), Burien city, Seattle CCD, King County, Washington",2157,715
0800000US530339292808850026700,530339292808850026700,"Census Tract 267 (part), Burien city, Seattle CCD, King County, Washington",3260,274
0800000US530339292808850026802,530339292808850026802,"Census Tract 268.02 (part), Burien city, Seattle CCD, King County, Washington",3758,503
0800000US530339292808850027000,530339292808850027000,"Census Tract 270 (part), Burien city, Seattle CCD, King County, Washington",2726,370
0800000US530339292808850027100,530339292808850027100,"Census Tract 271 (part), Burien city, Seattle CCD, King County, Washington",3120,610
0800000US530339292808850027400,530339292808850027400,"Census Tract 274, Burien city, Seattle CCD, King County, Washington",4546,637
0800000US530339292808850027500,530339292808850027500,"Census Tract 275, Burien city, Seattle CCD, King County, Washington",3861,297
0800000US530339292808850027600,530339292808850027600,"Census Tract 276 (part), Burien city, Seattle CCD, King County, Washington",4096,447
0800000US530339292808850027800,530339292808850027800,"Census Tract 278 (part), Burien city, Seattle CCD, King County, Washington",2465,174
0800000US530339292808850027900,530339292808850027900,"Census Tract 279 (part), Burien city, Seattle CCD, King County, Washington",5788,492
0800000US530339292808850028000,530339292808850028000,"Census Tract 280 (part), Burien city, Seattle CCD, King County, Washington",3281,440
0800000US530339292808850028402,530339292808850028402,"Census Tract 284.02 (part), Burien city, Seattle CCD, King County, Washington",9,13
0800000US530339292808850028500,530339292808850028500,"Census Tract 285 (part), Burien city, Seattle CCD, King County, Washington",3002,258
0800000US530339292808850028600,530339292808850028600,"Census Tract 286 (part), Burien city, Seattle CCD, King County, Washington",349,392
