GEOID,Total,under50,x50to99,x100to124,x125to149,x150to184,x185to199,x200andOver
530330079001,1609,136,0,295,0,0,58,1120
530330079002,1188,85,120,35,124,118,0,706
530330079003,865,65,77,54,24,58,0,587
530330079004,1235,96,190,17,61,127,32,712
530330079005,1238,69,123,39,93,20,35,859
530330086001,1305,145,274,12,0,57,22,795
530330086002,974,147,118,26,11,101,32,539
530330086003,969,133,359,67,17,34,0,359
530330085001,1186,115,96,60,14,108,43,750
530330085002,996,231,152,72,81,143,15,302
530330085003,529,209,174,78,14,0,0,54
530330087001,1646,83,168,180,170,127,78,840
530330087002,1329,78,72,94,169,302,6,608
530330087003,1382,152,85,93,17,97,64,874
530330090001,1312,123,86,64,42,45,45,907
530330090002,2077,177,473,39,161,127,5,1095
530330091001,1473,260,290,156,188,202,10,367
530330091002,1053,143,145,25,151,69,23,497
530330092001,1332,105,327,131,82,74,13,600
530330092002,1223,344,256,53,69,33,18,450
