GEO,PBP_TOTAL,PBP_UNDER50PCT,PBP_BTWN50TO99PCT,PBP_BTWN100TO124PCT,PBP_BTWN125TO149PCT,PBP_BTWN150TO184PCT,PBP_BTWN185TO199PCT,PBP_OVER200PCT,PBP_UNDER200PCT,PBP_UNDER200PCT_PCT
Seatte CCD,981062,70256,75839,33278,39349,47201,21292,693847,287215,29.28
Seattle,619248,44466,42127,17510,21932,25709,12591,454913,164335,26.54
000100,6345,585,1069,254,249,458,109,3621,2724,42.93
000200,7794,695,373,241,148,357,92,5888,1906,24.45
000300,2613,82,282,38,59,176,229,1747,866,33.14
000401,6088,1118,654,213,193,491,200,3219,2869,47.13
000402,4616,128,218,153,141,319,11,3646,970,21.01
000500,3003,82,110,10,53,35,35,2678,325,10.82
000600,7286,441,425,176,270,357,71,5546,1740,23.88
000700,4265,153,291,332,185,72,258,2974,1291,30.27
000800,2433,126,89,42,29,82,22,2043,390,16.03
000900,1945,66,66,41,23,0,0,1749,196,10.08
001000,1940,171,233,57,134,75,4,1266,674,34.74
001100,2685,177,152,0,20,68,46,2222,463,17.24
001200,6319,838,720,321,267,312,363,3498,2821,44.64
001300,4330,331,336,113,109,226,48,3167,1163,26.86
001400,5163,199,216,418,90,131,45,4064,1099,21.29
001500,2452,52,19,24,8,54,19,2276,176,7.18
001600,4047,106,196,9,17,96,65,3558,489,12.08
001701,4114,98,190,104,84,153,58,3427,687,16.7
001702,4333,106,357,133,209,141,18,3369,964,22.25
001800,5048,427,285,166,322,345,35,3468,1580,31.3
001900,4478,452,283,82,137,87,10,3427,1051,23.47
002000,3472,168,170,45,119,228,17,2725,747,21.51
002100,4007,140,103,169,13,161,36,3385,622,15.52
002200,5594,113,76,43,50,94,97,5121,473,8.46
002400,2969,84,38,18,97,137,6,2589,380,12.8
002500,2903,56,76,127,43,77,22,2502,401,13.81
002600,4886,254,177,105,97,118,99,4036,850,17.4
002700,5588,188,250,38,149,94,43,4826,762,13.64
002800,4549,163,293,102,62,135,230,3564,985,21.65
002900,4164,57,115,98,71,171,19,3633,531,12.75
003000,5811,142,197,142,29,154,59,5088,723,12.44
003100,6331,266,121,13,76,252,65,5538,793,12.53
003200,8010,453,292,106,224,266,44,6625,1385,17.29
003300,6212,267,161,105,233,170,70,5206,1006,16.19
003400,3747,84,47,16,89,22,15,3474,273,7.29
003500,4005,166,125,68,82,135,95,3334,671,16.75
003600,5952,506,333,90,215,300,153,4355,1597,26.83
003800,2071,63,115,26,62,30,7,1768,303,14.63
003900,3022,137,45,0,32,138,12,2658,364,12.05
004000,3025,446,137,30,83,41,74,2214,811,26.81
004100,8067,504,105,94,313,192,32,6827,1240,15.37
004200,8350,567,148,125,361,493,20,6636,1714,20.53
004301,3460,573,105,92,120,244,111,2215,1245,35.98
004302,2647,1174,453,95,118,144,27,636,2011,75.97
004400,5972,1253,1041,168,218,137,124,3031,2941,49.25
004500,2875,311,297,84,101,58,46,1978,897,31.2
004600,3316,52,202,46,140,79,21,2776,540,16.28
004700,7873,189,331,212,200,262,185,6494,1379,17.52
004800,4613,139,189,31,64,114,67,4009,604,13.09
004900,6730,181,397,71,153,375,69,5484,1246,18.51
005000,3731,126,211,137,186,169,56,2846,885,23.72
005100,3680,106,77,23,59,133,36,3246,434,11.79
005200,6700,1822,760,431,402,381,88,2816,3884,57.97
005301,4349,2168,575,189,179,195,87,956,3393,78.02
005302,156,73,16,0,0,0,4,63,93,59.62
005400,4804,200,200,28,94,96,81,4105,699,14.55
005600,6227,144,12,2,97,132,49,5791,436,7
005700,6624,64,165,69,169,104,207,5846,778,11.75
005801,5144,164,219,48,182,130,210,4191,953,18.53
005802,4831,149,109,98,190,184,119,3982,849,17.57
005900,6143,617,236,82,98,166,47,4897,1246,20.28
006000,5170,270,238,66,74,260,46,4216,954,18.45
006100,5319,136,116,104,32,235,99,4597,722,13.57
