GEO,ENG_TOTAL,ENG_LTVW,ENG_LTVW_PCT
Seattle CCD,944898,111230,11.77
Seattle,604214,55378,9.17
000100,6052,772,12.76
000200,7544,1233,16.34
000300,2476,192,7.75
000401,5958,486,8.16
000402,4776,343,7.18
000500,2908,167,5.74
000600,6876,760,11.05
000700,4045,561,13.87
000800,2352,136,5.78
000900,1835,107,5.83
001000,1818,216,11.88
001100,2509,268,10.68
001200,5967,1212,20.31
001300,4042,513,12.69
001400,4868,265,5.44
001500,2348,36,1.53
001600,3826,63,1.65
001701,3826,285,7.45
001702,4289,278,6.48
001800,4753,585,12.31
001900,4398,278,6.32
002000,3264,52,1.59
002100,3801,382,10.05
002200,5391,210,3.9
002400,2787,87,3.12
002500,2705,71,2.62
002600,4580,58,1.27
002700,5148,200,3.89
002800,4182,81,1.94
002900,3936,30,0.76
003000,5261,42,0.8
003100,5849,118,2.02
003200,7521,216,2.87
003300,5814,115,1.98
003400,3483,56,1.61
003500,3893,46,1.18
003600,5875,146,2.49
003800,1927,79,4.1
003900,2702,156,5.77
004000,2882,136,4.72
004100,7712,506,6.56
004200,7746,381,4.92
004301,3196,134,4.19
004302,3466,435,12.55
004400,5956,262,4.4
004500,2789,60,2.15
004600,3149,77,2.45
004700,7521,310,4.12
004800,4436,81,1.83
004900,6453,106,1.64
005000,3567,62,1.74
005100,3372,155,4.6
005200,6496,361,5.56
005301,6583,829,12.59
005302,5503,657,11.94
005400,4559,46,1.01
005600,5867,91,1.55
005700,6074,211,3.47
005801,4989,123,2.47
005802,4859,252,5.19
005900,7492,125,1.67
006000,5135,55,1.07
006100,5236,153,2.92
006200,3777,49,1.3
006300,4944,145,2.93
006400,3066,48,1.57
006500,4040,55,1.36
006600,3294,60,1.82
006700,6685,356,5.33
006800,2822,61,2.16
006900,4103,15,0.37
007000,7099,60,0.85
007100,3292,163,4.95
007200,5881,230,3.91
007300,5138,315,6.13
007401,4755,71,1.49
007402,5051,300,5.94
007500,7036,320,4.55
007600,3585,177,4.94
007700,4444,221,4.97
007800,5226,79,1.51
007900,5974,259,4.34
008001,5608,125,2.23
008002,3125,134,4.29
008100,4263,274,6.43
008200,3712,377,10.16
008300,2734,190,6.95
008400,4108,316,7.69
008500,4173,678,16.25
008600,4700,601,12.79
008700,4258,335,7.87
008800,3359,140,4.17
008900,4193,129,3.08
009000,3305,741,22.42
009100,2375,1154,48.59
009200,2439,531,21.77
009300,2505,458,18.28
009400,5432,1327,24.43
009500,5822,626,10.75
009600,5278,138,2.61
009701,5659,121,2.14
009702,5164,98,1.9
009800,6327,192,3.03
009900,4557,282,6.19
010001,3819,1230,32.21
010002,4321,1316,30.46
010100,6125,719,11.74
010200,4161,342,8.22
010300,5624,1406,25
010401,4603,1994,43.32
010402,4665,1701,36.46
010500,6027,309,5.13
010600,7231,219,3.03
010701,3112,604,19.41
010702,3588,690,19.23
010800,4487,415,9.25
010900,1068,139,13.01
011001,4497,1652,36.74
011002,4143,2119,51.15
011101,4574,1871,40.91
011102,4042,744,18.41
011200,3781,880,23.27
011300,6448,969,15.03
011401,3837,718,18.71
011402,3978,887,22.3
011500,3952,185,4.68
011600,6218,65,1.05
011700,5897,2167,36.75
011800,7113,2248,31.6
011900,7020,1135,16.17
012000,3168,49,1.55
012100,2666,108,4.05
026001,5200,789,15.17
026400,5200,1137,21.87
026500,3720,978,26.29
990100,0,0,NaN
12th Avenue,4700,601,12.79
23rd & Union-Jackson,16896,1475,8.73
Capitol Hill,16842,691,4.1
Chinatown-International District,4814,1685,35
First Hill,6907,868,12.57
Madison-Miller,3585,177,4.94
Pike/Pine,4108,316,7.69
