GEO,RACE_TOTAL,RACE_WHITE,RACE_POC,RACE_BLACK,RACE_AM_INDIAN,RACE_ASIAN,RACE_PACIFIC,RACE_HISPANIC,RACE_OTHER,RACE_WHITE_PCT,RACE_POC_PCT,RACE_BLACK_PCT,RACE_AM_INDIAN_PCT,RACE_ASIAN_PCT,RACE_PACIFIC_PCT,RACE_HISPANIC_PCT,RACE_OTHER_PCT
Seatte CCD,1004096,608421,395675,83590,6349,148216,9939,96369,51212,60.59,39.41,8.32,0.63,14.76,0.99,9.6,5.1
Seattle,637850,422287,215563,45871,3508,90286,2956,40577,32365,66.2,33.8,7.19,0.55,14.15,0.46,6.36,5.07
000100,6377,3678,2699,609,12,803,144,818,313,57.68,42.32,9.55,0.19,12.59,2.26,12.83,4.91
000200,7819,4696,3123,616,80,1727,0,315,385,60.06,39.94,7.88,1.02,22.09,0,4.03,4.92
000300,2619,1875,744,79,31,177,161,225,71,71.59,28.41,3.02,1.18,6.76,6.15,8.59,2.71
000401,6236,3687,2549,783,83,763,15,337,568,59.12,40.88,12.56,1.33,12.24,0.24,5.4,9.11
000402,4890,3622,1268,503,46,315,20,335,49,74.07,25.93,10.29,0.94,6.44,0.41,6.85,1
000500,3009,2479,530,19,0,330,0,93,88,82.39,17.61,0.63,0,10.97,0,3.09,2.92
000600,7307,4698,2609,434,64,1092,96,623,300,64.29,35.71,5.94,0.88,14.94,1.31,8.53,4.11
000700,4273,2507,1766,328,0,805,122,443,68,58.67,41.33,7.68,0,18.84,2.86,10.37,1.59
000800,2514,2092,422,15,16,269,0,36,86,83.21,16.79,0.6,0.64,10.7,0,1.43,3.42
000900,1958,1554,404,18,23,228,3,45,87,79.37,20.63,0.92,1.17,11.64,0.15,2.3,4.44
001000,1940,1008,932,438,3,239,0,140,112,51.96,48.04,22.58,0.15,12.32,0,7.22,5.77
001100,2685,1635,1050,137,0,529,0,166,218,60.89,39.11,5.1,0,19.7,0,6.18,8.12
001200,6337,3653,2684,310,88,1457,19,555,255,57.65,42.35,4.89,1.39,22.99,0.3,8.76,4.02
001300,4348,2678,1670,220,11,742,19,386,292,61.59,38.41,5.06,0.25,17.07,0.44,8.88,6.72
001400,5189,4028,1161,0,16,312,108,435,290,77.63,22.37,0,0.31,6.01,2.08,8.38,5.59
001500,2452,2269,183,0,0,46,0,110,27,92.54,7.46,0,0,1.88,0,4.49,1.1
001600,4053,3396,657,14,5,206,0,180,252,83.79,16.21,0.35,0.12,5.08,0,4.44,6.22
001701,4114,2614,1500,173,52,647,0,342,286,63.54,36.46,4.21,1.26,15.73,0,8.31,6.95
001702,4480,3360,1120,84,24,469,0,289,254,75,25,1.88,0.54,10.47,0,6.45,5.67
001800,5061,3308,1753,20,0,744,15,659,315,65.36,34.64,0.4,0,14.7,0.3,13.02,6.22
001900,4518,3220,1298,141,8,733,44,168,204,71.27,28.73,3.12,0.18,16.22,0.97,3.72,4.52
002000,3472,3003,469,2,0,182,49,68,168,86.49,13.51,0.06,0,5.24,1.41,1.96,4.84
002100,4040,3043,997,87,13,648,0,154,95,75.32,24.68,2.15,0.32,16.04,0,3.81,2.35
002200,5644,4493,1151,9,2,505,0,285,350,79.61,20.39,0.16,0.04,8.95,0,5.05,6.2
002400,2969,2387,582,23,0,243,0,106,210,80.4,19.6,0.77,0,8.18,0,3.57,7.07
