PROP_NAME,LAND_SQFT,LAND_NO_SHORE_SQFT,PARCEL_DEV_SQFT,LAND_USE_CODE,LAND_USE_DESC,LAND_USE_DESC_10,ZONING,ZONELUT,MIO_BASE_ZONE,CLASS,ZONE_GEO,VILLNUMB,TRBL10,RESCAT,EMPCAT,PUB_OWN_TYPE,TAX_STATUS,SF_UNITS,MF_UNITS,EXIST_UNITS,YR_BUILT,MAXRDENS,OBS_RDENS_UNITS,RES_FAR,OBS_FAR_UNITS,RES_MAX_FAR,MAX_FAR_UNITS,MAX_RES_FL_AREA,BLDG_GRSS_SQFT,BLDG_RES_GRSSQF,BLDG_COM_GRSSQF,COMM_FAR,OBS_COMM_FL_AREA,COMM_MAX_FAR,MAX_COMM_FL_AREA,REDEV_FL_AREA,BLDG_AV,LAND_AV,LANDMARK,STAT_TYPE,RATIO,ILR,DR,RESSTAT,COMSTAT,SPLITRES,SPLITCOM,EMPL,ADJRCAP_MAXRDENS_SFL,ADJRCAP_OBS_FAR,ADJRCAP_MAX_FAR,ADJRCAP_FL_AREA_MAX
NA,3771,3771,3771,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,8800.1014,SF,n/a,PRIVATE,T,1,0,1,1925,5000,1,1,1,1,1,3771,1880,1880,0,0,0,0,0,3771,315000,188000,NA,DR:UNITS,1,1.676,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1891
NA,3611,3611,3611,4,NA,NA,LR3,LR3,NA,L,DGA,131,7600.2008,MFM,n/a,PRIVATE,T,0,4,4,1947,670,5,1.6,6,1.6,6,5778,3600,3600,0,0,0,0,0,5778,448000,270000,NA,DR:UNITS,0.4,1.659,0.8,DEVELOPED,UNAVAIL,1,0,0,NA,2,NA,2178
NA,3761,3761,3761,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7800.2021,SF,n/a,PRIVATE,T,1,0,1,1907,5000,1,1,1,1,1,3761,2610,2610,0,0,0,0,0,3761,338000,218000,NA,DR:UNITS,1,1.55,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1151
NA,5904,5904,5904,4,NA,NA,LR2,LR2,NA,L,NONE,109,8700.3011,MFL,n/a,PRIVATE,T,0,3,3,1989,1110,5,1.15,7,1.15,7,6790,2680,2680,0,0,0,0,0,6790,238000,374000,NA,DR:UNITS,0.4,0.636,0.6,DEVELOPED,UNAVAIL,1,0,0,NA,4,NA,4110
WESTLAND APTS,8648,8648,8648,11,NA,NA,LR3,LR3,NA,L,DGA,414.1,7600.3009,MFM,n/a,PRIVATE,T,0,17,17,1987,670,13,1.6,14,1.6,14,13837,15144,15144,0,0,0,0,0,13837,2448600,950400,NA,DR:UNITS,0.4,2.576,1.31,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
NA,5002,5002,5002,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7700.2006,SF,n/a,PRIVATE,T,1,0,1,1927,5000,1,1,1,1,1,5002,2660,2660,0,0,0,0,0,5002,367000,263000,NA,DR:UNITS,1,1.395,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,2342
Townhouse,1181,1181,1181,29,NA,NA,LR2,LR2,NA,L,NONE,131,7700.4015,MFL,n/a,PRIVATE,T,0,1,1,2000,1110,1,1.15,1,1.15,1,1358,2039,2039,0,0,0,0,0,1358,359000,74000,NA,DR:UNITS,0.4,4.851,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
Swedish,22844,22844,22844,309,NA,NA,MIO-105-LR3,MIO,LR3,L,NONE,0,8700.1021,MFM,n/a,PRIVATE,T,0,0,0,0,957,24,1.3,30,1.3,30,29697,0,0,0,0,0,0,0,29697,0,2509300,NA,DR:UNITS,0.4,0,0,MIO,MIO,1,0,0,NA,30,NA,29697
NA,3419,3419,3419,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,109,8800.2007,SF,n/a,PRIVATE,T,1,0,1,2000,5000,1,1,1,1,1,3419,2295,2295,0,0,0,0,0,3419,268000,145000,NA,DR:UNITS,1,1.848,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1124
REGIS APT,5449,5449,5449,16,NA,NA,NC1-40,NC1,NA,NC,NONE,131,7600.1011,NCL,NC,PRIVATE,T,0,26,26,1980,485,11,3,16,3,16,16347,17122,15166,1956,0.5,2724,3,16347,16347,3183000,459000,NA,DR:SQFT,0.4,6.935,1.05,DEVELOPED,DEVELOPED,0.6,0.4,300,NA,0,NA,0
NA,3604,3604,3604,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,7700.3004,SF,n/a,PRIVATE,T,1,0,1,1904,5000,1,1,1,1,1,3604,2730,2730,0,0,0,0,0,3604,225000,194000,NA,DR:UNITS,1,1.16,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,874
NA,4481,4481,4481,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,109,8800.2022,SF,n/a,PRIVATE,T,1,0,1,1925,5000,1,1,1,1,1,4481,1720,1720,0,0,0,0,0,4481,207000,191000,NA,DR:UNITS,1,1.084,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,2761
ALOHA TERRACE APTS,40037,40037,40037,0,NA,NA,LR3,LR3,NA,L,NONE,0,6500.2004,MFM,n/a,PRIVATE,T,0,36,36,1973,957,42,1.3,52,1.3,52,52048,27300,27300,0,0,0,0,0,52048,1000,4800000,NA,DR:UNITS,0.4,0,0.86,DEVELOPED,UNAVAIL,1,0,0,NA,16,NA,24748
NA,1229,1229,1229,29,NA,NA,LR3,LR3,NA,L,NONE,0,8900.4011,MFM,n/a,PRIVATE,T,0,1,1,2008,957,1,1.3,2,1.3,2,1598,1260,1260,0,0,0,0,0,1598,209000,66000,NA,DR:UNITS,0.4,3.167,1,DEVELOPED,UNAVAIL,1,0,0,NA,1,NA,338
